feature_index,importance
0,0.5625
1,0.375
2,0.5625
3,0.375
4,0.5
5,0.25
6,0.4375
7,0.5625
8,0.1875
9,0.5625
10,0.4375
11,0.5
12,0.8125
13,0.5625
14,0.3125
15,0.625
16,0.5625
17,0.4375
18,0.3125
19,0.625
20,0.3125
21,0.5
22,0.5
23,0.625
24,0.25
25,0.5625
26,0.6875
27,0.5
28,0.5625
29,0.375
30,0.6875
test_rmse,8.526586320403638
